anio,ipc_anual,n_meses
2016,1684.106575958344,12
2017,2114.337532169842,12
2018,2839.264865209526,12
2019,4364.5283110090595,12
2020,6196.216126211244,12
2021,9190.918087158638,12
2022,15838.154628700277,12
