sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na
Intermediación financiera,2021,1352345.244768998,820155.6739387339,37994.521515326545,309.04796327368484,248.02844493591073,21.70689835364014,39.31261998413396
Intermediación financiera,2022,2016359.5478573588,1405907.8874667138,64882.88112025241,302.8033705207442,245.16267225145822,21.274239553469855,36.366458715816066
"Actividades inmobiliarias, empresariales y de alquiler",2016,765831.6801753899,234742.473418866,71449.00790878848,1287.2734942452335,824.4445644479351,82.84442979729825,379.9845
"Actividades inmobiliarias, empresariales y de alquiler",2017,1050371.0829276936,314185.8379483268,104067.90085671737,1356.6687235090765,835.4290919246276,93.39386650865443,427.8457650757944
"Actividades inmobiliarias, empresariales y de alquiler",2018,1507222.0523947286,410805.0660534718,141341.17399025292,1405.1649620298965,850.0003568073555,95.84818571115852,459.3164195113825
"Actividades inmobiliarias, empresariales y de alquiler",2019,2165470.795363229,599505.5793103436,232672.96101463976,1459.4839781374126,845.0354088522162,101.37679981271415,513.0717694724824
"Actividades inmobiliarias, empresariales y de alquiler",2020,2647917.765209719,841297.9504487291,235610.95875858952,1359.6951538469145,833.9784063267493,90.06079201588315,435.6559555042821
"Actividades inmobiliarias, empresariales y de alquiler",2021,4330891.345056828,1340563.8781699343,399446.7977580922,1503.0261337134925,873.912706581435,111.97683675409503,517.1365903779623
"Actividades inmobiliarias, empresariales y de alquiler",2022,7773620.498283979,2463133.5391179835,628888.1896569005,1547.185734355957,923.1363942573054,117.589527856224,506.4598122424277
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2016,647677.9044765322,647677.9044765324,NA,1558.4038836479524,1558.4038836479524,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2017,820815.8693699618,820815.8693699618,NA,1575.4676783560844,1575.4676783560844,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2018,1039301.4321105576,1039301.4321105578,NA,1583.1823489376989,1583.1823489376989,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2019,1473471.199388718,1473471.199388718,NA,1600.859090868631,1600.859090868631,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2020,1762573.0308521069,1935170.159521095,NA,1613.5382287236978,1613.5382287236978,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2021,2891600.189823879,2973423.8026159527,NA,1637.9179454364705,1637.9179454364705,NA,NA
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2022,5372893.143861119,5372893.143861118,NA,1670.2579062896475,1670.2579062896475,NA,NA
Enseñanza,2016,447963.97834250337,444586.6588636672,4133.15404409568,2069.293348478222,1923.7428482494315,103.788214346485,41.76228588230576
Enseñanza,2017,579775.2008839078,569695.5104260215,5250.538321978127,2098.3539103202957,1945.0565183937124,110.09827421744083,43.19911770914223
Enseñanza,2018,773743.8293070238,725698.7846756794,7046.390876111121,2137.1298203653996,1975.8978816780623,115.86715064751166,45.36478803982594
Enseñanza,2019,1117483.5764668526,1045816.9750550974,10785.79522709312,2145.116456196214,1985.0490550152722,110.74817896121999,49.31922221972226
Enseñanza,2020,1458026.5091801463,1395847.1348562045,11903.631158301889,2095.840670116456,1961.3975611369403,91.58699558526195,42.85611339425365
Enseñanza,2021,2174571.9705795227,2068585.707291671,22826.20663733501,2163.0412753662936,1984.3934596852364,116.93838742784214,61.70942825321483
Enseñanza,2022,3943320.282500362,3695651.953881494,50444.16422858491,2232.76487238959,2034.9768730708647,118.69798891999885,79.09001039872666
Enseñanza pública,2016,359679.4400679937,359679.4400679937,NA,1412.2906535106354,1412.2906535106354,NA,NA
