sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na,ipc_base2016,vab_real,rta_real,imb_real,part_rta,part_imb,part_excedente,productividad,part_ar,part_anr,part_na,grupo_prod,productividad_media
Explotación de minas y canteras,2017,314229.6750818881,101533.54061753544,718.2476563587064,95.98917858291564,83.64705068982339,10.057303995729477,2.284823897362778,125.54653977089747,250289.39519584327,80873.22900560863,572.0967361341815,0.323118879816414,0.002285741014662385,0.6745953791689236,2607.47512262169,0.8714216740334839,0.10477539389548957,0.023802932071026555,Alta productividad,2795.767649825986
Explotación de minas y canteras,2018,565649.1294787875,136682.15239380847,1008.2912270334012,98.56908164301798,86.06325631222354,10.130477757696696,2.375347573097746,168.59175694351987,335514.108004869,81072.85603506613,598.066741407286,0.24163769600379842,0.0017825382812176912,0.7565797657149839,3403.847356719639,0.8731262874489785,0.1027754097820011,0.024098302769020478,Alta productividad,2795.767649825986
Explotación de minas y canteras,2019,857973.447994544,213781.6598327912,1550.649559112744,102.71916275121848,89.871245496233,10.426624324986149,2.4212929299993293,259.15986394895566,331059.5378933874,82490.26549685864,598.3370786991003,0.24917048462570912,0.0018073397990780303,0.7490221755752129,3222.9579080117674,0.8749219044346906,0.10150612646871934,0.023571969096590085,Alta productividad,2795.767649825986
Explotación de minas y canteras,2020,842707.3144310032,268885.132156527,1719.483007643544,99.11968662954467,86.45992420378342,10.39190708031321,2.267855345448046,367.92304089693823,229044.4524421781,73081.89546950567,467.3485529614335,0.31907297771359505,0.002040427296877731,0.6788865949895273,2310.786688604266,0.8722780220938697,0.10484200902644589,0.02287996887968434,Alta productividad,2795.767649825986
Explotación de minas y canteras,2021,1574239.7204336089,389388.70011993207,2907.6585078416165,101.20688862942085,85.77402990902787,12.955290787588554,2.4775679328044227,545.7444450585634,288457.3053720553,71350.00706752902,532.7875591165381,0.24735032096171394,0.0018470239761455961,0.7508026550621405,2850.1746203094003,0.8475117758347267,0.12800799395212759,0.024480230213145725,Alta productividad,2795.767649825986
Explotación de minas y canteras,2022,2570981.4561653887,777399.4848168497,5317.177408182461,108.1037616887424,91.82615832625471,13.328046726604182,2.9495566358835186,940.4484760525055,273378.23619609437,82662.63432952251,565.3874235089515,0.30237459821135343,0.0020681508205481246,0.6955572509680984,2528.8503556723426,0.8494261151674356,0.12328938899442687,0.027284495838137673,Alta productividad,2795.767649825986
Industria manufacturera,2016,1109816.297923274,516060.7663534651,174813.056174999,2334.272190203791,1235.7160404671952,471.2182758016738,627.3378739349218,100,1109816.297923274,516060.7663534651,174813.056174999,0.46499656503435344,0.15751530816596865,0.37748812679967786,475.44425306561305,0.5293795837748092,0.2018694639722091,0.2687509522529816,Media productividad,509.73971286494907
Industria manufacturera,2017,1368258.2728982626,656687.1296046168,208334.25943790685,2333.9843764362004,1206.9197415827352,480.29295759403055,646.7716772594347,125.54653977089747,1089841.484596164,523062.707106836,165941.85695446792,0.4799438399985798,0.15226237879535018,0.36779378120607,466.9446357906907,0.5171070354059529,0.20578242187181983,0.2771105427222273,Media productividad,509.73971286494907
Industria manufacturera,2018,2073141.5258595408,806838.726895488,337817.6278986028,2308.6989768655526,1173.7227603700376,480.2954453848181,654.680771110697,168.59175694351987,1229681.4289408387,478575.4306871528,200376.12397133716,0.3891865156484994,0.16294962195527918,0.44786386239622145,532.6296070916695,0.5083914239714195,0.20803727562477634,0.2835713004038042,Media productividad,509.73971286494907
Industria manufacturera,2019,2919194.228289666,1096912.8013257924,534998.1963639252,2335.572171225339,1113.805307474929,503.25348011419806,718.5133836362119,259.15986394895566,1126406.76060265,423257.20681109844,206435.59084029266,0.37575875928216856,0.18326913337225134,0.4409721073455801,482.2830030603121,0.47688755723210213,0.21547331583856397,0.3076391269293338,Media productividad,509.73971286494907
Industria manufacturera,2020,3970055.961920806,1453820.0344952792,813071.9273143668,2258.74688065131,1088.0082757145549,437.95863409690946,732.7799708398463,367.92304089693823,1079045.2134344282,395142.42732694745,220989.67363724377,0.36619635804626977,0.2048011250000072,0.4290025169537231,477.718518474848,0.48168667549009625,0.19389451640133487,0.32441880810856905,Media productividad,509.73971286494907
Industria manufacturera,2021,7190957.738116607,2270819.810969844,1321523.5121095164,2339.13849327447,1113.480901475018,486.50348211456367,739.1541096848882,545.7444450585634,1317641.9482098348,416095.81765439024,242150.61171492175,0.3157882292831549,0.18377573061020916,0.500436040106636,563.3022379813513,0.47602179378284654,0.20798404349009972,0.3159941627270538,Media productividad,509.73971286494907
Industria manufacturera,2022,13594567.937187856,4161716.2315418087,2622500.4261078206,2536.6787997782853,1157.1756243524012,570.6950220833123,808.8081533425717,940.4484760525055,1445540.9608669372,442524.63984103035,278856.3640525699,0.3061308201018629,0.19290796428579293,0.5009612156123442,569.8557345901588,0.45617743344310774,0.22497725062124266,0.3188453159356496,Media productividad,509.73971286494907
"Electricidad, gas y agua",2016,124697.19440227572,61627.73066703587,1240.0702536569163,126.37572551081058,91.81059421966536,23.321100576898218,11.244030714247,100,124697.19440227572,61627.730667035874,1240.0702536569163,0.4942190637282788,0.009944652400569848,0.4958362838711513,986.7179309812052,0.7264891564306912,0.18453781754869733,0.08897302602061144,Alta productividad,937.2435377599295
"Electricidad, gas y agua",2017,184282.7804448201,82740.68261715352,1441.2148307392035,125.77977479100036,93.9053947277687,23.121126155025937,8.753253908205728,125.54653977089747,146784.43609924012,65904.39112710087,1147.9526503631182,0.44898759622269,0.007820670098749392,0.5431917336785606,1166.9955391726671,0.7465858074861785,0.18382228934218342,0.06959190317163798,Alta productividad,937.2435377599295
"Electricidad, gas y agua",2018,269406.8974497228,104953.16585612882,1892.492644105099,127.98964139002422,94.85310812470964,24.088999326498755,9.047533938815816,168.59175694351987,159798.38061713605,62252.845429026114,1122.5297597077094,0.38957119082563724,0.007024662924446022,0.6034041462499168,1248.5258875769541,0.7410998819479674,0.1882105384848457,0.07068957956718676,Alta productividad,937.2435377599295
"Electricidad, gas y agua",2019,388392.88708408934,149312.4707907321,2700.286602541974,128.12229155650326,94.93638868228456,23.631696491113576,9.554206383105084,259.15986394895566,149866.14098569966,57614.04120050812,1041.9385785268912,0.3844366767674741,0.006952461521153826,0.6086108617113721,1169.7116806532229,0.7409825997407846,0.1844464082246902,0.07457099203452493,Alta productividad,937.2435377599295
