sector,anio,vbp_macro
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2021,328135.268597779
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2022,576788.6553
Asociaciones,2016,187708.23767943677
Asociaciones,2017,248421.8011407204
Asociaciones,2018,295656.7620899636
Asociaciones,2019,426292.4652348156
Asociaciones,2020,428524.27799999993
Asociaciones,2021,861298.45
Asociaciones,2022,1522551.6511
Servicios culturales y deportivos. Otras actividades,2016,186592.53061522645
Servicios culturales y deportivos. Otras actividades,2017,237907.75656866425
Servicios culturales y deportivos. Otras actividades,2018,304331.9181133041
Servicios culturales y deportivos. Otras actividades,2019,420305.7162661566
Servicios culturales y deportivos. Otras actividades,2020,294793.3253266254
Servicios culturales y deportivos. Otras actividades,2021,600739.8743391617
Servicios culturales y deportivos. Otras actividades,2022,1251627.4423699998
Hogares privados con servicio doméstico,2016,58837.028504457405
Hogares privados con servicio doméstico,2017,74954.92037428316
Hogares privados con servicio doméstico,2018,96676.2089653701
Hogares privados con servicio doméstico,2019,138170.5427309
Hogares privados con servicio doméstico,2020,157147.83727433198
Hogares privados con servicio doméstico,2021,230384.340745578
Hogares privados con servicio doméstico,2022,440175.5093999999
