sector,anio,vbp_macro
Elaboración de productos de tabaco,2017,30273.582294815642
Elaboración de productos de tabaco,2018,41621.554707939606
Elaboración de productos de tabaco,2019,61334.992431464016
Elaboración de productos de tabaco,2020,100078.47817977324
Elaboración de productos de tabaco,2021,147605.35561636154
Elaboración de productos de tabaco,2022,226685.37291553497
Fabricación de productos textiles,2016,68946.9203202457
Fabricación de productos textiles,2017,77755.96342867693
Fabricación de productos textiles,2018,102499.1962156513
Fabricación de productos textiles,2019,166545.90862393213
Fabricación de productos textiles,2020,200582.53261096025
Fabricación de productos textiles,2021,431335.81076021906
Fabricación de productos textiles,2022,784822.964801433
Fabricación de prendas de vestir; terminación y teñido de pieles,2016,92535.79511198933
Fabricación de prendas de vestir; terminación y teñido de pieles,2017,98782.7967350576
Fabricación de prendas de vestir; terminación y teñido de pieles,2018,102455.32384657553
Fabricación de prendas de vestir; terminación y teñido de pieles,2019,140340.3872162474
Fabricación de prendas de vestir; terminación y teñido de pieles,2020,144311.05636117692
Fabricación de prendas de vestir; terminación y teñido de pieles,2021,347514.4895349499
Fabricación de prendas de vestir; terminación y teñido de pieles,2022,671962.6950646166
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2016,50113.03303289329
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2017,52409.40380190451
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2018,64905.390248441305
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2019,86683.97326992352
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2020,73940.5452604705
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2021,154689.7577866138
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2022,285918.90936162823
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2016,36000.39052470959
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2017,45069.37005422374
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2018,74267.20907924266
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2019,109497.69501649434
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2020,173924.62562861491
