grupo_prod,n_sectores,cagr_puestos_medio,cagr_prod_medio
Baja productividad,5,0.013905099952419087,-0.021951438524482603
Media productividad,5,0.014794933780669739,0.0026615617021655156
Alta productividad,5,0.015701847276948278,-0.03965802521609389
