grupo_prod,within_grupo,between_grupo,total_grupo
Baja productividad,-0.012869051696389175,-0.007757236281713484,-0.020626287978102658
Media productividad,-0.05392701296365805,-4.970764667730097e-4,-0.05442408943043106
Alta productividad,0.005627128996075508,0.0014651404811972957,0.007092269477272804
